Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Fiji,FJI,1.11726971788073,1.03967712946995,0.929697981259837,1.4199790685505,1.25604495978484,1.2131042266677,1.30887617012328,1.32057470823182,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Finlandia,FIN,10.3771689611267,10.1284741400511,9.95519427234709,11.5752816522205,10.5444747406961,9.07543335566445,8.68178012315563,8.66072124349448,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Francia,FRA,6.42067090678677,5.94666546275395,5.43835672666487,5.42898086189895,5.07791149059709,5.07506388727506,5.06217403504859,4.5731821471024,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Polinesia Francesa,PYF,2.19973787019534,2.39564103212537,3.18952409999209,3.20393547905309,3.08479004458148,2.99619069351461,3.00301248866661,2.91513481726706,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Gabón,GAB,4.72521770362062,3.81258721718887,2.67845740423531,2.93322440419215,2.92996822228023,2.90551833230211,2.90571962024376,2.7682657208219,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Gambia,GMB,0.191987853509132,0.199448144407896,0.232603869330796,0.255713888079596,0.256174689912693,0.252317680516057,0.232722215170675,0.267684889136388,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Georgia,GEO,..,1.11256641005648,1.63622140095254,1.6675686845653,2.12223697909803,2.26380242400253,2.1137931090135,2.41646049619644,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Alemania,DEU,..,10.0956398829225,8.81859556166104,9.27963401169499,9.1248592104965,9.19929975724339,9.39062341958994,8.88937039483839,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Ghana,GHA,0.260957010608234,0.332065263822419,0.322460194769617,0.40616280838234,0.391342521848358,0.461562599908002,0.55493014926488,0.536533377780147,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Gibraltar,GIB,4.90375120010972,10.7022771007056,14.0199660152931,14.0320286842026,13.5022002694207,13.7418433810189,14.5244893736514,15.5134849286092,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Grecia,GRC,7.28452164170849,8.47843382003456,8.27789234499236,7.54018386811447,7.18976291454789,7.24700735925025,6.33661458954141,6.18033726778447,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Groenlandia,GRL,9.95893884892086,9.46112099644128,10.2217388988513,11.6637729549249,12.4403410089647,10.005016722408,9.80325053555937,8.98918198774314,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Granada,GRD,1.10448365755118,1.87646011080605,2.42600866763826,2.48724170543672,2.40802284082798,2.57257705179132,2.87379731656422,2.27549830763445,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guatemala,GTM,0.549031915907629,0.85106743835994,0.82785497388694,0.797292859116729,0.791834914618241,0.78401618067539,0.874180490213843,1.15097799430391,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guinea,GIN,0.166320537306653,0.18650251698748,0.214326136141025,0.241201500439589,0.25188429358134,0.228832610363065,0.19929667411108,0.207492620606193,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guinea-Bissau,GNB,0.170258228948512,0.117983090806279,0.154659665438288,0.153196261922513,0.153925623718012,0.154457588763835,0.152655821159147,0.157241166708388,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Guyana,GUY,1.52440371366417,2.13701163280017,2.09980380666038,2.30367581266509,2.37907088506207,2.64888041418633,2.55404897365849,2.63234795184132,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Haití,HTI,0.139971058062473,0.15999052542928,0.230376834363998,0.212694146185799,0.218681438265385,0.224883834618984,0.230598509783952,0.270538585794459,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Honduras,HND,0.523188172407558,0.771138223158008,0.979841745279819,0.973269196554196,1.07222735763207,1.05625722020409,1.04701421899481,1.07522179045218,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,"Hong Kong, Región Administrativa Especial",HKG,4.79162380576738,6.06746826706677,6.04470198485544,5.79112653398252,6.193079501103,6.07328764632662,6.26907896752984,6.39360052562418,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Hungría,HUN,6.71365062307764,5.46729669489807,4.84011144757125,5.02231164868321,4.79790000267757,4.4941289440849,4.25965983098088,4.2655749757664,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Islandia,ISL,7.84266519115004,7.69378211624971,6.44749277077793,6.16852858593703,5.89682897929244,5.61399181830654,5.8669462942143,6.05965740746397,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,India,IND,0.711562799537377,0.979870442389399,1.43184425374633,1.39700890564172,1.47668634979755,1.59809863737809,1.59143785328546,1.73000043156161,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Indonesia,IDN,0.824341653340586,1.24524161289282,1.86516540256931,1.76790787941536,2.45684474415599,2.559750232591,1.94509447387694,1.81936331905513,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,"Irán, República Islámica del",IRN,3.74316340331467,5.62871214830904,7.52200253869157,7.68472866152124,7.80293462388959,8.0016962450964,8.00380876267108,8.28302078741615,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Iraq,IRQ,2.73014988546858,3.07421949277952,3.49715293558192,3.64712877455071,4.23564549156204,4.65952390199695,4.88462266415942,4.81183968613452,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Irlanda,IRL,8.88372281638965,10.8347426425178,8.88901094176336,8.78361393417548,7.77982216046693,7.73815559101326,7.53811029677652,7.31393980771791,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Isla de Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Israel,ISR,7.7888339055794,9.58177945619335,8.61247288126536,9.03522325410567,8.90188827937881,9.54796776436382,8.32178547056269,7.86318134790706,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Italia,ITA,7.36170458207832,7.912673166227,6.79565148637292,6.83837457020099,6.70255761383033,6.20541385845015,5.73294187855659,5.27086678640296,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Jamaica,JAM,3.10695796871764,3.87973829296494,2.76063146512834,2.5902683860983,2.77731063480277,2.62666878329823,2.83787402162909,2.59321537046218,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Japón,JPN,8.87329283534488,9.62235162366075,8.62081638773263,9.14831603810416,9.31742666604085,9.63862828980874,9.7808150653223,9.53870610327163,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Jordania,JOR,2.92179171832021,3.03886889026931,3.20944402646136,2.94896155736461,2.86052357093644,3.05836706152074,2.8988318010275,3.00251472703979,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Kazajstán,KAZ,..,7.93485418136683,13.2567629220034,15.2279873289044,15.646296858992,14.4694178907699,15.4293165175178,14.3631697418223,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Kenya,KEN,0.248827871304557,0.331249189400366,0.306941207942779,0.294423101516048,0.316754324792202,0.286745420820472,0.297438082252893,0.310415313666165,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,Kiribati,KIR,0.30384466662984,0.34755823045755,0.401091798584043,0.607284806920469,0.595656245222443,0.584722313413936,0.574367715483485,0.564368357203643,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,"Corea, República Popular Democrática de",PRK,..,3.03815129916929,2.88916720465555,2.70227950610288,1.94294369398832,1.97380940252999,1.44120605895083,1.61359684123056,..,..,..,..
Emisiones de CO2 (toneladas métricas per cápita),EN.ATM.CO2E.PC,"Corea, República de",KOR,5.76037425211894,9.52093176005307,10.3201094917268,11.4363166269633,11.8029687340986,11.6328245622552,11.7492008400819,11.5703454093401,..,..,..,..
